Fiscal Year,Service,Department,Division,Position Number,Job Title,Total Salary
2018,General Government,Finance,Auditing,O007-701,City Auditor,142459
2018,General Government,Finance,Auditing,M180-001,Financial Analyst,91977
2018,General Government,Finance,Auditing,M002-702,General Ledger Accountant,95796
2018,General Government,Finance,Auditing,C170-701,Sr. Account Clerk/Audit,57252
2018,General Government,Finance,Auditing,C171-702,Sr. Account Clerk/Audit,57252
2018,General Government,Finance,Budget,O025-701,Budget Director,150504
2018,General Government,Finance,Budget,M184-001,Principal Budget Analyst,87568
2018,General Government,Finance,Budget,m184-002,Principal Budget Analyst,89527
2018,General Government,Finance,Budget,M184-003,Principal Budget Analyst,89527
2018,General Government,Finance,Budget,M184-004,Principal Budget Analyst,77285
2018,General Government,Finance,Information Technology ,M141-701,Administrative Asst/IT,73696
2018,General Government,Finance,Information Technology ,M901-701,Asst Dir of Info Tech Admin,134897
2018,General Government,Finance,Information Technology ,M906-701,Asst Dir/ IT Infrastructure,134897
2018,General Government,Finance,Information Technology ,M344-001,Audio Visual Technician,85248
2018,General Government,Finance,Information Technology ,M037-701,Chief Information Officer,159368
2018,General Government,Finance,Information Technology ,M359-702,Customer Relationship Prg. Mgr,85135
2018,General Government,Finance,Information Technology ,M705-701,Database Administrator,115229
2018,General Government,Finance,Information Technology ,M142-701,Enterprise Applications Specia,101733
2018,General Government,Finance,Information Technology ,M149-701,GIS Manager,115229
2018,General Government,Finance,Information Technology ,M166-701,GIS Programmer  Analyst,88769
2018,General Government,Finance,Information Technology ,M550-701,GIS Technical Specialist,71536
2018,General Government,Finance,Information Technology ,M702-702,MIS Project Manager,106662
2018,General Government,Finance,Information Technology ,M165-701,Network Engineer L2,106662
2018,General Government,Finance,Information Technology ,M701-701,Network Manager,115229
2018,General Government,Finance,Information Technology ,M098-701,Open Data Program Manager,90347
2018,General Government,Finance,Information Technology ,MPS -001,Physical Security,102500
2018,General Government,Finance,Information Technology ,M708-701,Proj Mngr/Business Analyst L1,100976
2018,General Government,Finance,Information Technology ,M708-702,Proj Mngr/Business Analyst L1,92078
2018,General Government,Finance,Information Technology ,M704-701,Proj Mngr/Business Analyst L2,106662
2018,General Government,Finance,Information Technology ,M119-703,Sr Programmer/Sys Analyst,92955
2018,General Government,Finance,Information Technology ,M130-702,System Administrator L2,97818
2018,General Government,Finance,Information Technology ,M320-702,"System Administrator, Level 1",99375
2018,General Government,Finance,Information Technology ,M320-705,"System Administrator, Level 1",92128
2018,General Government,Finance,Information Technology ,M097-701,Systems Administration Manager,111546
2018,General Government,Finance,Information Technology ,M204-701,Technical Support Lvl 2,100976
2018,General Government,Finance,Information Technology ,M131-004,Technical Support Lvl I,77886
2018,General Government,Finance,Information Technology ,M131-005,Technical Support Lvl I,80104
2018,General Government,Finance,Information Technology ,M131-006,Technical Support Lvl I,74577
2018,General Government,Finance,Information Technology ,M131-007,Technical Support Lvl I,72809
2018,General Government,Finance,Information Technology ,M706-701,Technical Support Manager,103303
2018,General Government,Finance,Information Technology ,MTTC-001,Technology Training Coordinator,102500
2018,General Government,Finance,Information Technology ,M162-701,Web Content Specialist,80104
2018,General Government,Finance,Information Technology ,WB99-001,Web Designer,102500
2018,General Government,Finance,Information Technology ,M252-701,Web Developer,92955
2018,General Government,Finance,Information Technology ,M206-701,Web Manager,112687
2018,General Government,Finance,Personnel,M007-001,Account Coordinator,68096
2018,General Government,Finance,Personnel,M334-001,Administrative Assistant,56982
2018,General Government,Finance,Personnel,M093-701,Asst Director/HR Administratio,114432
2018,General Government,Finance,Personnel,M084-001,Asst Director/HR Development,112594
2018,General Government,Finance,Personnel,M304-703,Business Prod Analyst/Prj.Mgr.,67551
2018,General Government,Finance,Personnel,M189-001,Employee Benefits Svs Rep,58290
2018,General Government,Finance,Personnel,M363-002,Employment Resource Spec,56982
2018,General Government,Finance,Personnel,M026-001,Manager/Benefits & Compensatio,95796
2018,General Government,Finance,Personnel,M040-701,Mngr/Training & Staff Developm,95796
2018,General Government,Finance,Personnel,O014-701,Personnel Director,150504
2018,General Government,Finance,Personnel,M199-001,Personnel Specialist,60917
2018,General Government,Finance,Personnel,M182-001,Personnel/Labor Svs Analyst,80338
2018,General Government,Finance,Personnel,M095-701,Workers' Comp Claims Spec,65260
2018,General Government,Finance,Purchasing,C121-001,Admin Asst/Purchasing,55974
2018,General Government,Finance,Purchasing,M021-001,Asst Purch Agent for Sup.& Ser,96033
2018,Public Safety,Police,Administration,A108-704,Student Intern/Police,30141
2018,General Government,Finance,Purchasing,M377-001,Asst.Purch Agent/Design & Cons,90626
2018,General Government,Finance,Purchasing,C193-003,Buyer/Purchasing,57252
2018,General Government,Finance,Purchasing,c193-004,Buyer/Purchasing,57252
2018,General Government,Finance,Purchasing,C193-005,Buyer/Purchasing,57252
2018,General Government,Finance,Purchasing,MMMM-001,Construction & Sustainable Procurement Specialist,70616
2018,General Government,Finance,Purchasing,O016-701,Purchasing Agent,146202
2018,General Government,Finance,Revenue,M015-701,Admin Asst/Cash Managemnt,60917
2018,General Government,Finance,Revenue,C094-004,Admin Asst/Fisc/Gen/Bld/R,49113
2018,General Government,Finance,Revenue,M074-701,Assistant Finance Director,150504
2018,General Government,Finance,Revenue,C173-701,Cashier Coordinator,61022
2018,General Government,Finance,Revenue,M806-701,Cust. Srvc Sup/Tax Title Liais,77658
2018,General Government,Finance,Revenue,M801-702,Customer Svs Supervsr/Finance,70614
2018,General Government,Finance,Revenue,M057-701,Manager of Collections,95796
2018,General Government,Finance,Revenue,C171-707,Sr Account Clerk,55272
2018,General Government,Finance,Treasury,M907-701,Admin Asst to Finance Director,70614
2018,General Government,Finance,Treasury,M304-702,Business Prod Analyst/Prj.Mgr.,80602
2018,General Government,Finance,Treasury,A337-701,Cash Manager,70614
2018,General Government,Finance,Treasury,M132-701,Director of Payroll,95796
2018,General Government,Finance,Treasury,M073-701,Project/Cash Manager,80338
2018,General Government,Finance,Treasury,M171-704,Senior Account Clerk,60917
2018,General Government,Finance,Treasury,M171-705,Senior Account Clerk,60917
2018,General Government,General Services,General Services,C754-170,Laborer/Print Shop,31688
2018,General Government,General Services,General Services,C142-005,Offset Duplicating Machine Opr,55059
2018,General Government,General Services,General Services,M050-001,Supervisor Of Printing,89853
2018,General Government,Law,Administration ,C094-002,Admin Asst/Fisc/Gen/Bld/R,55873
2018,General Government,Law,Administration ,C094-711,Admin Asst/Fisc/Gen/Bld/R,55873
2018,General Government,Law,Administration ,M088-701,Assistant City Solicitor,109321
2018,General Government,Law,Administration ,M088-702,Assistant City Solicitor,109321
2018,General Government,Law,Administration ,M088-703,Assistant City Solicitor,102709
2018,General Government,Law,Administration ,M088-706,Assistant City Solicitor,108562
2018,General Government,Law,Administration ,M088-707,Assistant City Solicitor,109321
2018,General Government,Law,Administration ,M088-708,Assistant City Solicitor,109321
2018,General Government,Law,Administration ,O010-701,City Solicitor,159368
2018,General Government,Law,Administration ,M058-701,Deputy City Solicitor,137135
2018,General Government,Law,Administration ,M167-701,First Asst City Solicitor,121583
2018,General Government,Law,Administration ,M434-001,Office Manager/Law,84277
2018,General Government,Law,Administration ,M341-701,Public Records Access Officer,82400
2018,General Government,Mayor,Administration,M291-702,Aide to Mayor,1603
2018,General Government,Mayor,Administration,M104-701,Chief Of Staff,73800
2018,General Government,Mayor,Administration,M293-701,Consti.Srvc Dir./Dep. Chief St,62991
2018,General Government,Mayor,Administration,X502-001,Director of Outreach,24336
2018,General Government,Mayor,Administration,M886-701,Education Liaison,60639
2018,General Government,Mayor,Administration,M302-702,Executive Assistant to Mayor,52275
2018,General Government,Mayor,Administration,X038-001,Legislative Aide for Spe Proj.,20999
2018,General Government,Mayor,Administration,X967-001,Mayor Assistant,44366
2018,General Government,Public Celebrations,Cambridge Arts Council,M516-001,Arts Administrator,58290
2018,General Government,Public Celebrations,Cambridge Arts Council,M030-701,Dir/Arts Council/Pub Cele,85154
2018,General Government,Public Celebrations,Cambridge Arts Council,M524-701,Dir/Marketing & PR  Arts,32649
2018,General Government,Public Celebrations,Cambridge Arts Council,M513-701,Dir/Public Arts Programm,69610
2018,General Government,Public Celebrations,Cambridge Arts Council,M514-701,Director of Art Conservation,42588
2018,General Government,Public Celebrations,Cambridge Arts Council,M597-701,Events Producer/CommArtsDir,64439
2018,General Government,Public Celebrations,Cambridge Arts Council,M515-701,Public Arts Administrator,58290
2018,Public Safety,Animal Commission,Administration,A209-701,Animal Control Officer,61702
2018,Public Safety,Animal Commission,Administration,A209-702,Animal Control Officer,61702
2018,Public Safety,Animal Commission,Administration,A209-704,Animal Control Officer,61702
2018,Public Safety,Animal Commission,Administration,M137-701,Dir/Animal Commission,94668
2018,Public Safety,Electrical,Administration,C098-001,Admin Asst/Electrical,57058
2018,Public Safety,Electrical,Administration,M078-001,Assistant City Electrician,100976
2018,Public Safety,Electrical,Administration,O015-701,City Electrician,139779
2018,Public Safety,Electrical,Administration,C626-002,Electrician,67516
2018,Public Safety,Electrical,Administration,C626-005,Electrician,67516
2018,Public Safety,Electrical,Administration,C626-007,Electrician,67516
2018,Public Safety,Electrical,Administration,C626-008,Electrician,67516
2018,Public Safety,Electrical,Administration,C626-009,Electrician,67516
2018,Public Safety,Electrical,Administration,C626-010,Electrician,67516
2018,Public Safety,Electrical,Administration,C626-111,Electrician,67516
2018,Public Safety,Electrical,Administration,C626-112,Electrician,66001
2018,Public Safety,Electrical,Administration,C625-001,Electrician Coordinator,87812
2018,Public Safety,Electrical,Administration,C622-001,Electrician Coordinator/Tech S,87812
2018,Public Safety,Electrical,Administration,M092-701,Senior Electrical Manager,95094
2018,Public Safety,Emergency Communications,Administration,M368-701,Admin Asst/Emergency Comm,58290
2018,Public Safety,Emergency Communications,Administration,M128-701,Asst.Dir. of Training & Admin.,110547
2018,Public Safety,Emergency Communications,Administration,M370-701,Chief of Operations /Emergenc,125763
2018,Public Safety,Emergency Communications,Administration,E374-001,Emerg Comm Supervisor,86283
2018,Public Safety,Emergency Communications,Administration,E374-002,Emerg Comm Supervisor,86283
2018,Public Safety,Emergency Communications,Administration,E374-003,Emerg Comm Supervisor,86283
2018,Public Safety,Emergency Communications,Administration,E374-004,Emerg Comm Supervisor,86583
2018,Public Safety,Emergency Communications,Administration,E374-005,Emerg Comm Supervisor,86283
